Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAE_JPBD_J@Z",8,96.97,96.97,1.85,1.85,"MSVCP110.dll",
"___CxxFrameHandler3",12,0.50,0.50,0.01,0.01,"Assignment_Smart_Pointers.exe",
"Test::test_charAt_CP",3,0.46,0.32,0.07,0.02,"Assignment_Smart_Pointers.exe",
"Test::test_charAt_OP",3,0.42,0.28,0.06,0.01,"Assignment_Smart_Pointers.exe",
"Test::test_charAt_RL",3,0.37,0.27,0.06,0.01,"Assignment_Smart_Pointers.exe",
"Test::test_charAt_RC",3,0.31,0.22,0.05,0.01,"Assignment_Smart_Pointers.exe",
"__CxxSetUnhandledExceptionFilter",1,0.19,0.19,0.03,0.03,"Assignment_Smart_Pointers.exe",
"mainCRTStartup",1,100.00,0.14,15.27,0.02,"Assignment_Smart_Pointers.exe",
"Test::test_copy_constructor_RC",1,0.14,0.13,0.02,0.02,"Assignment_Smart_Pointers.exe",
"exit",1,0.12,0.12,0.02,0.02,"MSVCR110.dll",
"Test::test_append_OP",2,0.10,0.08,0.01,0.01,"Assignment_Smart_Pointers.exe",
"Test::test_append_CP",2,0.09,0.08,0.01,0.01,"Assignment_Smart_Pointers.exe",
"??_V@YAXPAX@Z",29,0.08,0.08,0.00,0.00,"MSVCR110.dll",
"__getmainargs",1,0.07,0.07,0.01,0.01,"MSVCR110.dll",
"Test::test_append_RL",2,0.08,0.06,0.01,0.00,"Assignment_Smart_Pointers.exe",
"__tmainCRTStartup",1,99.85,0.06,15.25,0.01,"Assignment_Smart_Pointers.exe",
"StringBufferRC::append",45,0.06,0.05,0.00,0.00,"Assignment_Smart_Pointers.exe",
"main",1,99.34,0.05,15.17,0.01,"Assignment_Smart_Pointers.exe",
"[MSVCP110.dll]",8,0.04,0.04,0.00,0.00,"MSVCP110.dll",
"_onexit",4,0.04,0.04,0.00,0.00,"MSVCR110.dll",
"std::operator<<<std::char_traits<char> >",8,97.11,0.03,1.85,0.00,"Assignment_Smart_Pointers.exe",
"?uncaught_exception@std@@YA_NXZ",8,0.03,0.03,0.00,0.00,"MSVCP110.dll",
"??2@YAPAXI@Z",11,0.02,0.02,0.00,0.00,"MSVCR110.dll",
"RtlEncodePointer",1,0.01,0.01,0.00,0.00,"ntdll.dll",
"?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z",8,0.01,0.01,0.00,0.00,"MSVCP110.dll",
"Test::test_length_RL",1,0.02,0.01,0.00,0.00,"Assignment_Smart_Pointers.exe",
"Test::test_copy_constructor_CP",1,0.05,0.01,0.01,0.00,"Assignment_Smart_Pointers.exe",
"?_Osfx@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEXXZ",8,0.01,0.01,0.00,0.00,"MSVCP110.dll",
"[MSVCP110.dll]",8,0.01,0.01,0.00,0.00,"MSVCP110.dll",
"Test::test_copy_constructor_OP",1,0.02,0.01,0.00,0.00,"Assignment_Smart_Pointers.exe",
"Test::string_buffer_OP",1,23.64,0.01,3.61,0.00,"Assignment_Smart_Pointers.exe",
"RtlDecodePointer",4,0.01,0.01,0.00,0.00,"ntdll.dll",
"Test::string_buffer_CP",1,27.90,0.01,4.26,0.00,"Assignment_Smart_Pointers.exe",
"??3@YAXPAX@Z",11,0.01,0.01,0.00,0.00,"MSVCR110.dll",
"Test::test_copy_constructor_RL",1,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"Test::test_deep_copy",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"StringBufferRL::append",44,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"Test::test_COW_RL",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"_setdefaultprecision",1,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"Test::test_length_RC",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"Test::test_append_RC",2,0.06,0.00,0.01,0.00,"Assignment_Smart_Pointers.exe",
"Test::test_destructor_RC",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"Test::test_destructor_RL",1,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"__ehhandler$?test_charAt_OP@Test@@AAEXXZ",2,0.14,0.00,0.02,0.00,"Assignment_Smart_Pointers.exe",
"__set_app_type",1,0.00,0.00,0.00,0.00,"MSVCR110.dll",
"__SEH_prolog4",5,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"pre_c_init",1,0.02,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"Test::test_own_transfer",1,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"__ehhandler$?test_charAt_CP@Test@@AAEXXZ",2,0.14,0.00,0.02,0.00,"Assignment_Smart_Pointers.exe",
"__ehhandler$?test_charAt_RL@Test@@AAEXXZ",2,0.10,0.00,0.02,0.00,"Assignment_Smart_Pointers.exe",
"__security_init_cookie",1,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"Test::test_COW_RC",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"__SEH_epilog4",4,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"__ehhandler$?test_charAt_RC@Test@@AAEXXZ",2,0.09,0.00,0.01,0.00,"Assignment_Smart_Pointers.exe",
"__ehhandler$?test_append_RL@Test@@AAEXXZ",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"__ehhandler$?test_append_OP@Test@@AAEXXZ",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"__ehhandler$?test_append_CP@Test@@AAEXXZ",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"atexit",4,0.05,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"pre_cpp_init",1,0.10,0.00,0.01,0.00,"Assignment_Smart_Pointers.exe",
"__ehhandler$?test_append_RC@Test@@AAEXXZ",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"_RTC_Initialize",1,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''",1,0.01,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"_RTC_Terminate",1,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"__atonexitinit",1,0.00,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
"_onexit",4,0.05,0.00,0.00,0.00,"Assignment_Smart_Pointers.exe",
